time,accX,accY,accZ,rotX,rotY,rotZ,temp1,temp2,press
156849.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156859.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156869.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156879.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156889.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156899.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156909.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156919.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156929.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156939.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156949.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156959.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156969.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156979.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156989.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156999.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157009.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157019.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157029.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157039.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157049.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157059.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157069.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157079.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157089.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157099.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157109.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157119.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157129.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157139.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
